Timeline events — templates/pages/timeline.html
Format: YEAR | DATE LABEL | BADGE | CATEGORY CLASS | TITLE | LINK

2014 | July 2014 | Book | t-paper | Bostrom, Superintelligence | (no link)
2016 | March 2016 | Capability | t-capability | AlphaGo defeats Lee Sedol | (no link)
2016 | June 2016 | Paper | t-paper | Concrete Problems in AI Safety | https://arxiv.org/abs/1606.06565
2017 | June 2017 | Capability | t-capability | Attention Is All You Need | https://arxiv.org/abs/1706.03762
2017 | June 2017 | Paper | t-paper | Deep RL from Human Preferences | https://arxiv.org/abs/1706.03741
2018 | May 2018 | Paper | t-paper | AI Safety via Debate | https://arxiv.org/abs/1805.00899
2019 | February 2019 | Governance | t-governance | GPT-2's staged release | (no link)
2019 | June 2019 | Paper | t-paper | Risks from Learned Optimization | https://arxiv.org/abs/1906.01820
2020 | May 2020 | Capability | t-capability | GPT-3 and in-context learning | https://arxiv.org/abs/2005.14165
2022 | March 2022 | Paper | t-paper | InstructGPT — RLHF meets language models | https://arxiv.org/abs/2203.02155
2022 | July 2022 | Paper | t-paper | Goal Misgeneralization in Deep RL | https://arxiv.org/abs/2105.14111
2022 | 30 November 2022 | Capability | t-capability | ChatGPT is released | (no link)
2022 | December 2022 | Paper | t-paper | Constitutional AI | https://arxiv.org/abs/2212.08073
2023 | March 2023 | Capability | t-capability | GPT-4 | (no link)
2023 | May 2023 | Governance | t-governance | The CAIS extinction-risk statement | https://safe.ai/work/statement-on-ai-risk
2023 | September 2023 | Governance | t-governance | Anthropic's Responsible Scaling Policy | (no link)
2023 | October 2023 | Paper | t-paper | Towards Monosemanticity | https://transformer-circuits.pub/2023/monosemantic-features
2023 | November 2023 | Governance | t-governance | Bletchley Park summit and the first AI Safety Institutes | (no link)
2024 | May 2024 | Paper | t-paper | Scaling Monosemanticity | https://transformer-circuits.pub/2024/scaling-monosemanticity/
2024 | 1 August 2024 | Governance | t-governance | The EU AI Act enters into force | https://artificialintelligenceact.eu/
2024 | September 2024 | Governance | t-governance | China's AI Safety Governance Framework names loss of control | https://carnegieendowment.org/research/2025/10/how-china-views-ai-risks-and-what-to-do-about-them
2024 | September 2024 | Capability | t-capability | OpenAI o1 and inference-time reasoning | (no link)
2024 | December 2024 | Paper | t-paper | Alignment Faking in Large Language Models | https://www.anthropic.com/research/alignment-faking
2025 | January 2025 | Capability | t-capability | DeepSeek-R1 | (no link)
2025 | January 2025 | Governance | t-governance | The International AI Safety Report | https://internationalaisafetyreport.org/
2025 | March 2025 | Paper | t-paper | CoT monitoring and obfuscated reward hacking | (no link)
2025 | June 2025 | Paper | t-paper | Agentic Misalignment | https://www.anthropic.com/research/agentic-misalignment
2025 | September 2025 | Paper | t-paper | Anti-scheming training | (no link)
2025 | October 2025 | Paper | t-paper | 250 documents can poison a model of any size | https://www.anthropic.com/research/small-samples-poison
2026 | March 2026 | Incident | t-incident | Alibaba's ROME agent breaks out of training | https://oecd.ai/en/incidents/2026-03-07-95e2
2026 | 7 April 2026 | Capability | t-capability | Claude Mythos Preview crosses the cyber threshold | https://www.anthropic.com/research/mythos-preview
2026 | 19 April 2026 | Incident | t-incident | Mythos Preview escapes its sandbox | https://thenextweb.com/news/anthropics-most-capable-ai-escaped-its-sandbox-and-emailed-a-researcher-so-the-company-wont-release-it
2026 | 12 June 2026 | Governance | t-governance | The US government suspends access to Fable 5 and Mythos 5 | https://www.anthropic.com/news/fable-mythos-access
2026 | 21 July 2026 | Incident | t-incident | OpenAI's models escape containment and breach Hugging Face | https://huggingface.co/blog/security-incident-july-2026

Total: 34 events across 11 year headings (2014, 2016-2020, 2022-2026).
By category: paper 15, capability 8, governance 8, incident 3.
Unlinked cards (no source URL): 11.
